article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
1912,Aleatory contracts,"A contract is aleatory when, because of its nature or according to the parties' intent, the performance of either party's obligation, or the extent of the performance, depends on an uncertain event.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1913,Principal and accessory contracts,"A contract is accessory when it is made to provide security for the performance of an obligation.  Suretyship, mortgage, pledge, and other types of security agreements are examples of such a contract.
When the secured obligation arises from a contract, either between the same or other parties, that contract is the principal contract.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1914,Nominate and innominate contracts,"Nominate contracts are those given a special designation such as sale, lease, loan, or insurance.
Innominate contracts are those with no special designation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1915,Rules applicable to all contracts,"All contracts, nominate and innominate, are subject to the rules of this title.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1916,Rules applicable to nominate contracts,"Nominate contracts are subject to the special rules of the respective titles when those rules modify, complement, or depart from the rules of this title.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1917,Rules applicable to all kinds of obligations,"The rules of this title are applicable also to obligations that arise from sources other than contract to the extent that those rules are compatible with the nature of those obligations.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1918,General statement of capacity,"All persons have capacity to contract, except unemancipated minors, interdicts, and persons deprived of reason at the time of contracting.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1919,Right to plead rescission,"A contract made by a person without legal capacity is relatively null and may be rescinded only at the request of that person or his legal representative.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1920,Right to require confirmation or rescission of the contract,"Immediately after discovering the incapacity, a party, who at the time of contracting was ignorant of the incapacity of the other party, may require from that party, if the incapacity has ceased, or from the legal representative if it has not, that the contract be confirmed or rescinded.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1921,Rescission of contract for incapacity,"Upon rescission of a contract on the ground of incapacity, each party or his legal representative shall restore to the other what he has received thereunder.  When restoration is impossible or impracticable, the court may award compensation to the party to whom restoration cannot be made.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1922,Fully emancipated minor,"A fully emancipated minor has full contractual capacity.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1923,Incapacity of unemancipated minor; exceptions,"A contract by an unemancipated minor may be rescinded on grounds of incapacity except when made for the purpose of providing the minor with something necessary for his support or education, or for a purpose related to his business.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1924,Mere representation of majority; reliance,"The mere representation of majority by an unemancipated minor does not preclude an action for rescission of the contract.  When the other party reasonably relies on the minor's representation of majority, the contract may not be rescinded.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1925,Noninterdicted person deprived of reason; protection of innocent contracting party by onerous title,"A noninterdicted person, who was deprived of reason at the time of contracting, may obtain rescission of an onerous contract upon the ground of incapacity only upon showing that the other party knew or should have known that person's incapacity.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1926,Attack on noninterdicted decedent's contracts,"A contract made by a noninterdicted person deprived of reason at the time of contracting may be attacked after his death, on the ground of incapacity, only when the contract is gratuitous, or it evidences lack of understanding, or was made within thirty days of his death, or when application for interdiction was filed before his death.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,2.  CONTRACTUAL CAPACITY AND EXCEPTIONS,,
1927,Consent,"A contract is formed by the consent of the parties established through offer and acceptance.
Unless the law prescribes a certain formality for the intended contract, offer and acceptance may be made orally, in writing, or by action or inaction that under the circumstances is clearly indicative of consent.
Unless otherwise specified in the offer, there need not be conformity between the manner in which the offer is made and the manner in which the acceptance is made.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1928,Irrevocable offer,"An offer that specifies a period of time for acceptance is irrevocable during that time.
When the offeror manifests an intent to give the offeree a delay within which to accept, without specifying a time, the offer is irrevocable for a reasonable time.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1929,Expiration of irrevocable offer for lack of acceptance,"An irrevocable offer expires if not accepted within the time prescribed in the preceding Article.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1930,Revocable offer,"An offer not irrevocable under Civil Code Article 1928 may be revoked before it is accepted.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1931,Expiration of revocable offer,"A revocable offer expires if not accepted within a reasonable time.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1932,Expiration of offer by death or incapacity of either party,"An offer expires by the death or incapacity of the offeror or the offeree before it has been accepted.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1933,Option contracts,"An option is a contract whereby the parties agree that the offeror is bound by his offer for a specified period of time and that the offeree may accept within that time.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1934,Time when acceptance of an irrevocable offer is effective,"An acceptance of an irrevocable offer is effective when received by the offeror.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1935,Time when acceptance of a revocable offer is effective,"Unless otherwise specified by the offer or the law, an acceptance of a revocable offer, made in a manner and by a medium suggested by the offer or in a reasonable manner and by a reasonable medium, is effective when transmitted by the offeree.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1936,Reasonableness of manner and medium of acceptance,"A medium or a manner of acceptance is reasonable if it is the one used in making the offer or one customary in similar transactions at the time and place the offer is received, unless circumstances known to the offeree indicate otherwise.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1937,Time when revocation is effective,"A revocation of a revocable offer is effective when received by the offeree prior to acceptance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1938,"Reception of revocation, rejection, or acceptance","A written revocation, rejection, or acceptance is received when it comes into the possession of the addressee or of a person authorized by him to receive it, or when it is deposited in a place the addressee has indicated as the place for this or similar communications to be deposited for him.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1939,Acceptance by performance,"When an offeror invites an offeree to accept by performance and, according to usage or the nature or the terms of the contract, it is contemplated that the performance will be completed if commenced, a contract is formed when the offeree begins the requested performance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1940,Acceptance only by completed performance,"When, according to usage or the nature of the contract, or its own terms, an offer made to a particular offeree can be accepted only by rendering a completed performance, the offeror cannot revoke the offer, once the offeree has begun to perform, for the reasonable time necessary to complete the performance.  The offeree, however, is not bound to complete the performance he has begun.
The offeror's duty of performance is conditional on completion or tender of the requested performance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1941,Notice of commencement of performance,"When commencement of the performance either constitutes acceptance or makes the offer irrevocable, the offeree must give prompt notice of that commencement unless the offeror knows or should know that the offeree has begun to perform.  An offeree who fails to give the notice is liable for damages.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1942,Acceptance by silence,"When, because of special circumstances, the offeree's silence leads the offeror reasonably to believe that a contract has been formed, the offer is deemed accepted.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1943,Acceptance not in accordance with offer,"An acceptance not in accordance with the terms of the offer is deemed to be a counteroffer.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1944,Offer of reward made to the public,"An offer of a reward made to the public is binding upon the offeror even if the one who performs the requested act does not know of the offer.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1945,Revocation of an offer of reward made to the public,"An offer of reward made to the public may be revoked before completion of the requested act, provided the revocation is made by the same or an equally effective means as the offer.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
1946,Performance by several persons,"Unless otherwise stipulated in the offer made to the public, or otherwise implied from the nature of the act, when several persons have performed the requested act, the reward belongs to the first one giving notice of his completion of performance to the offeror.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,3.  CONSENT,,
